row_id,bir,ki,bu,nə,aşıq,ey,hər,ilə,kim,mən,o,i,də,ol,ələsgər,kimi,sən,var,oldu,da,çox,mənim,məni,gün,dedi,can,tək,idi,mənə,olur
164,1,2,0,1,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
165,3,0,0,0,0,5,0,0,2,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
166,2,1,0,1,0,1,1,2,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
167,1,1,2,1,0,3,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
168,2,0,1,1,0,3,1,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
169,2,0,1,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
170,1,1,1,2,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,5,5,5,2,0,0,5,0,0,3,0,0,0,3,0,0,1,0,4,0,0,0,1,0,0,0,0,3,2,0
172,1,1,0,2,0,1,0,1,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
173,3,1,2,1,0,1,0,1,7,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0
174,4,1,2,0,0,1,3,3,8,2,0,3,0,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
175,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
176,0,1,0,1,0,1,2,0,2,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
177,1,1,0,2,0,0,2,1,4,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1
178,2,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
179,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
180,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,2,1,0,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1
182,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0
183,1,3,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
184,1,1,2,1,0,0,2,0,5,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
185,1,0,0,0,0,1,2,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,1,1,0,2,1,1,2,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
187,1,0,1,0,0,2,3,1,1,0,0,0,0,1,0,0,0,0,2,0,0,8,0,0,0,0,0,0,1,0
188,1,4,0,3,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
189,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0
190,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,1,2,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
192,5,5,4,4,0,0,3,0,12,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
193,1,1,1,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
196,0,1,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0
197,0,1,0,0,0,0,1,2,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0
