term_id,token,term_frequency,document_frequency
1122,məhəbbət,24,20
1123,natəvan,24,20
1124,ney,24,20
1125,nökər,24,11
1126,növ,24,19
1127,olacaq,24,13
1128,olsaydı,24,15
1129,oxşar,24,17
1130,pay,24,20
1131,peyda,24,16
1132,qabaq,24,19
1133,qaldım,24,23
1134,qarşı,24,18
1135,qiyamət,24,23
1136,quran,24,18
1137,qədrini,24,13
1138,qəlbim,24,19
1139,rast,24,20
1140,ruhi,24,22
1141,seyri,24,21
1142,suyu,24,19
1143,sözə,24,19
1144,tufan,24,19
1145,təbib,24,23
1146,xumar,24,20
1147,xəta,24,19
1148,yari,24,18
1149,çəkir,24,19
1150,öküz,24,9
1151,ömrüm,24,22
1152,ömür,24,19
1153,üzüm,24,19
1154,şux,24,24
1155,şükür,24,19
1156,əlini,24,20
1157,əlinə,24,19
1158,əlvan,24,21
1159,aqil,23,18
1160,aslan,23,19
1161,ağzı,23,20
1162,bihudə,23,22
1163,bivəfa,23,22
1164,bülbüli,23,23
1165,canın,23,20
1166,cüda,23,20
1167,deyər,23,17
1168,durdu,23,15
1169,dеyin,23,3
1170,elm,23,19
1171,evdə,23,16
1172,fərman,23,18
1173,görməmişəm,23,14
1174,gözlərim,23,22
1175,güllər,23,22
1176,günə,23,20
1177,gəda,23,19
1178,hatəm,23,10
1179,hünər,23,18
1180,hеsab,23,12
1181,ilan,23,20
1182,kar,23,21
1183,keç,23,14
1184,köhnə,23,22
1185,kövsər,23,22
1186,kəndə,23,13
1187,manat,23,6
1188,mətləb,23,21
1189,nahaq,23,20
1190,niqab,23,21
1191,nəfəs,23,20
1192,olanda,23,19
1193,oldular,23,20
1194,onunla,23,15
1195,ox,23,19
1196,qanın,23,21
1197,qatar,23,16
1198,qonşu,23,13
1199,quş,23,20
1200,qış,23,20
1201,rəb,23,14
1202,salar,23,19
1203,seyyida,23,23
1204,sizi,23,12
1205,tənə,23,21
1206,ucundan,23,20
1207,vermiş,23,21
1208,vurar,23,18
1209,vurub,23,23
1210,yadına,23,15
1211,yay,23,20
1212,yaşım,23,21
1213,çeşmeyi,23,22
1214,çin,23,21
1215,öylə,23,20
1216,üzə,23,17
1217,şahlar,23,17
1218,əməl,23,23
1219,ər,23,20
1220,ərşi,23,21
1221,əsir,23,21
1222,əta,23,21
1223,еvinə,23,7
1224,ac,22,18
1225,adama,22,11
1226,ali,22,19
1227,anaxanımın,22,3
1228,and,22,15
1229,artar,22,14
1230,atın,22,14
1231,axırda,22,17
1232,ağzını,22,14
1233,barı,22,18
1234,basdı,22,13
1235,baxanda,22,19
1236,bəxş,22,14
1237,bəşirə,22,7
1238,cananə,22,20
1239,cüt,22,12
1240,dad,22,20
1241,dilbərin,22,20
1242,dilərsən,22,12
1243,doludur,22,10
1244,dönə,22,11
